,id,up,site,data-set,marker,name,number
1360,01053501,010535,4,國民政府/內政/治安/治安總目,*,治安總目,95
1361,01053502,010535,4,國民政府/內政/治安/出入境管理,*,出入境管理,3
1362,01053503,010535,4,國民政府/內政/治安/自衛槍枝(武器)管理,*,自衛槍枝(武器…,20
1363,01053504,010535,4,國民政府/內政/治安/槍照,*,槍照,5
1364,01053505,010535,4,國民政府/內政/治安/許可證,*,許可證,19
1365,010536,0105,3,國民政府/內政/警察勤務,-,警察勤務,17
1366,01053601,010536,4,國民政府/內政/警察勤務/警察勤務總目,*,警察勤務總目,12
1367,01053602,010536,4,國民政府/內政/警察勤務/賭博,*,賭博,5
1368,010537,0105,3,國民政府/內政/警察教育,-,警察教育,138
1369,01053701,010537,4,國民政府/內政/警察教育/警官教育,*,警官教育,75
1370,01053702,010537,4,國民政府/內政/警察教育/中央警官學校,*,中央警官學校,40
1371,01053703,010537,4,國民政府/內政/警察教育/警官分校訓練班,*,警官分校訓練班,13
1372,01053704,010537,4,國民政府/內政/警察教育/警察訓練班,*,警察訓練班,10
1373,010538,0105,3,國民政府/內政/督察,-,督察,3
1374,01053801,010538,4,國民政府/內政/督察/警員風紀糾察,*,警員風紀糾察,3
1375,010539,0105,3,國民政府/內政/禁煙禁毒,-,禁煙禁毒,283
1376,01053901,010539,4,國民政府/內政/禁煙禁毒/禁煙禁毒總目,*,禁煙禁毒總目,256
1377,01053902,010539,4,國民政府/內政/禁煙禁毒/查禁種植,*,查禁種植,27
1378,010540,0105,3,國民政府/內政/邊政(蒙藏),-,邊政(蒙藏),378
1379,01054001,010540,4,國民政府/內政/邊政(蒙藏)/邊政(蒙藏)總目,*,邊政(蒙藏)…,119
1380,01054002,010540,4,國民政府/內政/邊政(蒙藏)/政治動態,*,政治動態,123
1381,01054003,010540,4,國民政府/內政/邊政(蒙藏)/頒給名號,*,頒給名號,136
1382,010541,0105,3,國民政府/內政/蒙事,-,蒙事,251
1383,01054101,010541,4,國民政府/內政/蒙事/蒙事總目,*,蒙事總目,68
1384,01054102,010541,4,國民政府/內政/蒙事/盟旗,*,盟旗,137
1385,01054103,010541,4,國民政府/內政/蒙事/蒙旗,*,蒙旗,46
1386,010542,0105,3,國民政府/內政/藏事,-,藏事,221
1387,01054201,010542,4,國民政府/內政/藏事/藏事總目,*,藏事總目,164
1388,01054202,010542,4,國民政府/內政/藏事/達賴,*,達賴,25
1389,01054203,010542,4,國民政府/內政/藏事/班禪,*,班禪,32
1390,010543,0105,3,國民政府/內政/新疆政情,-,新疆政情,162
1391,01054301,010543,4,國民政府/內政/新疆政情/新疆政情總目,*,新疆政情總目,162
1392,010544,0105,3,國民政府/內政/西南邊境政情,-,西南邊境政情,12
1393,01054401,010544,4,國民政府/內政/西南邊境政情/西南邊境政情總目,*,西南邊境政情總目,12
1394,0106,01,2,國民政府/外交,-,外交,9844
1395,010601,0106,3,國民政府/外交/外交總綱,-,外交總綱,188
1396,01060101,010601,4,國民政府/外交/外交總綱/外交總目,*,外交總目,99
1397,01060102,010601,4,國民政府/外交/外交總綱/政策、制度,*,政策、制度,24
1398,01060103,010601,4,國民政府/外交/外交總綱/報告,*,報告,57
1399,01060104,010601,4,國民政府/外交/外交總綱/參考資料,*,參考資料,8
1400,010602,0106,3,國民政府/外交/國際政治,-,國際政治,58
1401,01060201,010602,4,國民政府/外交/國際政治/國際政治總目,*,國際政治總目,36
1402,01060202,010602,4,國民政府/外交/國際政治/民間團體,*,民間團體,2
1403,01060203,010602,4,國民政府/外交/國際政治/政情,*,政情,20
1404,010603,0106,3,國民政府/外交/國際會議,-,國際會議,472
1405,01060301,010603,4,國民政府/外交/國際會議/國際會議總目,*,國際會議總目,472
1406,010604,0106,3,國民政府/外交/外交機構,-,外交機構,963
1407,01060401,010604,4,國民政府/外交/外交機構/外交禮儀,*,外交禮儀,104
1408,01060402,010604,4,國民政府/外交/外交機構/呈遞國書,*,呈遞國書,80
1409,01060403,010604,4,國民政府/外交/外交機構/勳獎,*,勳獎,5
1410,01060404,010604,4,國民政府/外交/外交機構/慶賀,*,慶賀,637
1411,01060405,010604,4,國民政府/外交/外交機構/弔慰,*,弔慰,61
1412,01060406,010604,4,國民政府/外交/外交機構/餽贈,*,餽贈,30
1413,01060407,010604,4,國民政府/外交/外交機構/題詞,*,題詞,46
1414,010605,0106,3,國民政府/外交/駐外使領館,-,駐外使領館,312
1415,01060501,010605,4,國民政府/外交/駐外使領館/駐外使領館總目,*,駐外使領館總目,210
1416,01060502,010605,4,國民政府/外交/駐外使領館/升格,*,升格,88
1417,01060503,010605,4,國民政府/外交/駐外使領館/大使館,*,大使館,4
1418,01060504,010605,4,國民政府/外交/駐外使領館/領事館,*,領事館,10
1419,010606,0106,3,國民政府/外交/駐華使領館,-,駐華使領館,722
1420,01060601,010606,4,國民政府/外交/駐華使領館/人員任免,*,人員任免,679
1421,01060602,010606,4,國民政府/外交/駐華使領館/大使館,*,大使館,40
1422,01060603,010606,4,國民政府/外交/駐華使領館/領事館,*,領事館,3
1423,010607,0106,3,國民政府/外交/中外關係,-,中外關係,683
1424,01060701,010607,4,國民政府/外交/中外關係/中外關係總目,*,中外關係總目,92
1425,01060702,010607,4,國民政府/外交/中外關係/交涉,*,交涉,520
1426,01060703,010607,4,國民政府/外交/中外關係/邦交,*,邦交,64
1427,01060704,010607,4,國民政府/外交/中外關係/絕交,*,絕交,7
1428,010608,0106,3,國民政府/外交/訪聘,-,訪聘,174
1429,01060801,010608,4,國民政府/外交/訪聘/外賓訪華,*,外賓訪華,20
1430,01060802,010608,4,國民政府/外交/訪聘/亞洲地區,*,亞洲地區,20
1431,01060803,010608,4,國民政府/外交/訪聘/歐洲地區,*,歐洲地區,21
1432,01060804,010608,4,國民政府/外交/訪聘/美洲地區,*,美洲地區,50
1433,01060805,010608,4,國民政府/外交/訪聘/出國訪問考察實習,*,出國訪問考察實習,14
1434,01060806,010608,4,國民政府/外交/訪聘/特使、專使,*,特使、專使,49
1435,010609,0106,3,國民政府/外交/界務,-,界務,3
1436,01060901,010609,4,國民政府/外交/界務/滇緬界務,*,滇緬界務,3
1437,010610,0106,3,國民政府/外交/糾紛,-,糾紛,67
1438,01061001,010610,4,國民政府/外交/糾紛/中日糾紛,*,中日糾紛,63
1439,01061002,010610,4,國民政府/外交/糾紛/中俄糾紛,*,中俄糾紛,4
1440,010611,0106,3,國民政府/外交/戰後對日政策,-,戰後對日政策,493
1441,01061101,010611,4,國民政府/外交/戰後對日政策/戰後對日政策總目,*,戰後對日政策總目,14
1442,01061102,010611,4,國民政府/外交/戰後對日政策/盟國對日政策,*,盟國對日政策,3
1443,01061103,010611,4,國民政府/外交/戰後對日政策/中國對日政策,*,中國對日政策,3
1444,01061104,010611,4,國民政府/外交/戰後對日政策/賠償,*,賠償,48
1445,01061105,010611,4,國民政府/外交/戰後對日政策/敵偽產業處理,*,敵偽產業處理,425
1446,010612,0106,3,國民政府/外交/國際事務,-,國際事務,44
1447,01061201,010612,4,國民政府/外交/國際事務/國際事務總目,*,國際事務總目,16
1448,01061202,010612,4,國民政府/外交/國際事務/獨立運動,*,獨立運動,28
1449,010613,0106,3,國民政府/外交/國際組織,-,國際組織,117
1450,01061301,010613,4,國民政府/外交/國際組織/國際組織總目,*,國際組織總目,29
1451,01061302,010613,4,國民政府/外交/國際組織/聯合國(籌備、成立、憲章),*,聯合國(籌備、…,88
1452,010614,0106,3,國民政府/外交/國際問題,-,國際問題,187
1453,01061401,010614,4,國民政府/外交/國際問題/國際問題總目,*,國際問題總目,3
1454,01061402,010614,4,國民政府/外交/國際問題/東北問題,*,東北問題,184
1455,010615,0106,3,國民政府/外交/國際關係,-,國際關係,7
1456,01061501,010615,4,國民政府/外交/國際關係/國際關係總目,*,國際關係總目,7
1457,010616,0106,3,國民政府/外交/國際糾紛,-,國際糾紛,13
1458,01061601,010616,4,國民政府/外交/國際糾紛/國際糾紛總目,*,國際糾紛總目,13
1459,010617,0106,3,國民政府/外交/國際共黨,-,國際共黨,26
1460,01061701,010617,4,國民政府/外交/國際共黨/共黨活動,*,共黨活動,26
1461,010618,0106,3,國民政府/外交/援助,-,援助,13
1462,01061801,010618,4,國民政府/外交/援助/援助總目,*,援助總目,13
1463,010619,0106,3,國民政府/外交/條約,-,條約,46
1464,01061901,010619,4,國民政府/外交/條約/條約總目,*,條約總目,37
1465,01061902,010619,4,國民政府/外交/條約/外人在華權益,*,外人在華權益,9
1466,010620,0106,3,國民政府/外交/中外條約,-,中外條約,786
1467,01062001,010620,4,國民政府/外交/中外條約/中外條約總目,*,中外條約總目,475
1468,01062002,010620,4,國民政府/外交/中外條約/友好條約,*,友好條約,95
1469,01062003,010620,4,國民政府/外交/中外條約/關稅條約、商約,*,關稅條約、商約,160
1470,01062004,010620,4,國民政府/外交/中外條約/取消不平等條約,*,取消不平等條約,56
1471,010621,0106,3,國民政府/外交/公約、協定、換文,-,公約、協定、換文,463
1472,01062101,010621,4,國民政府/外交/公約、協定、換文/公約、協定、換文總目,*,公約、協定、換文…,463
1473,010622,0106,3,國民政府/外交/司法與法權,-,司法與法權,203
1474,01062201,010622,4,國民政府/外交/司法與法權/司法與法權總目,*,司法與法權總目,11
1475,01062202,010622,4,國民政府/外交/司法與法權/領事裁判權,*,領事裁判權,192
1476,010623,0106,3,國民政府/外交/領域,-,領域,125
1477,01062301,010623,4,國民政府/外交/領域/租界,*,租界,55
1478,01062302,010623,4,國民政府/外交/領域/租借地,*,租借地,70
1479,010624,0106,3,國民政府/外交/護照延期加簽,-,護照延期加簽,6
1480,01062401,010624,4,國民政府/外交/護照延期加簽/護照延期加簽總目,*,護照延期加簽總目,6
1481,010625,0106,3,國民政府/外交/外交情報,-,外交情報,30
1482,01062501,010625,4,國民政府/外交/外交情報/外交情報總目,*,外交情報總目,27
1483,01062502,010625,4,國民政府/外交/外交情報/報告,*,報告,3
1484,010626,0106,3,國民政府/外交/國外情報資料,-,國外情報資料,33
1485,01062601,010626,4,國民政府/外交/國外情報資料/國外情報資料總目,*,國外情報資料總目,21
1486,01062602,010626,4,國民政府/外交/國外情報資料/綜合性參考資料,*,綜合性參考資料,2
1487,01062603,010626,4,國民政府/外交/國外情報資料/歐洲,*,歐洲,8
1488,01062604,010626,4,國民政府/外交/國外情報資料/軍事,*,軍事,2
1489,010627,0106,3,國民政府/外交/國內情報資料,-,國內情報資料,504
1490,01062701,010627,4,國民政府/外交/國內情報資料/綜合性參考資料,*,綜合性參考資料,89
1491,01062702,010627,4,國民政府/外交/國內情報資料/政治,*,政治,2
1492,01062703,010627,4,國民政府/外交/國內情報資料/外交,*,外交,413
1493,010628,0106,3,國民政府/外交/僑務,-,僑務,132
1494,01062801,010628,4,國民政府/外交/僑務/僑務總目,*,僑務總目,118
1495,01062802,010628,4,國民政府/外交/僑務/資料,*,資料,5
