,id,up,site,data-set,marker,name,number
202,013#meeting#M204,,2,,+,第四屆,2412
203,013#meeting#M205,,2,,+,第五屆,1540
204,013#meeting#M206,,2,,+,第六屆,1537
205,013#meeting#M207,,2,,+,第七屆,1598
206,013#meeting#M208,,2,,+,第八屆,1868
207,013#meeting#M209,,2,,+,第九屆,2271
208,013#meeting#M210,,2,,+,第十屆,3369
209,013#meeting#M211,,2,,+,第十一屆,3266
210,013#meeting#M212,,2,,+,第十二屆,4177
211,013#meeting#M213,,2,,+,第十三屆,3751
212,013#meeting#M214,,2,,+,第十四屆,4905
213,013#meeting#M215,,2,,+,第十五屆,4518
214,013#meeting#M216,,2,,+,第十六屆,4598
215,013#meeting#M217,,2,,+,第十七屆,9618
216,012#meeting#M101,,2,,+,參議會,581
217,012#meeting#M102,,2,,+,第一屆,220
218,012#meeting#M201,,2,,+,第一屆,2170
219,012#meeting#M202,,2,,+,第二屆,2784
220,012#meeting#M203,,2,,+,第三屆,2424
221,012#meeting#M204,,2,,+,第四屆,1896
222,012#meeting#M205,,2,,+,第五屆,3236
223,012#meeting#M206,,2,,+,第六屆,3557
224,012#meeting#M207,,2,,+,第七屆,5973
225,012#meeting#M208,,2,,+,第八屆,3441
226,012#meeting#M209,,2,,+,第九屆,3295
227,012#meeting#M210,,2,,+,第十屆,3686
228,012#meeting#M211,,2,,+,第十一屆,4482
229,012#meeting#M212,,2,,+,第十二屆,4331
230,012#meeting#M213,,2,,+,第十三屆,4476
231,012#meeting#M214,,2,,+,第十四屆,4564
232,012#meeting#M215,,2,,+,第十五屆,4133
233,012#meeting#M216,,2,,+,第十六屆,3179
234,012#meeting#M217,,2,,+,第十七屆,3335
235,012#meeting#M218,,2,,+,第十八屆,1578
236,012#meeting#M219,,2,,+,第十九屆,1222
237,014#meeting#M101,,2,,+,第一屆,476
238,014#meeting#M201,,2,,+,第一屆,878
239,014#meeting#M202,,2,,+,第二屆,2270
240,014#meeting#M203,,2,,+,第三屆,2953
241,014#meeting#M204,,2,,+,第四屆,2730
242,014#meeting#M205,,2,,+,第五屆,1774
