,id,up,site,data-set,marker,name,number
2743,0203051025,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十五次會議,*,第二十五次會議,23
2744,0203051026,02030510,5,會議/臺灣省議會/第五屆/第十次定期大會/第二十六次會議,*,第二十六次會議,45
2745,02030511,020305,4,會議/臺灣省議會/第五屆/第一次臨時大會,-,第一次臨時大會,117
2746,0203051101,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第一次會議,*,第一次會議,4
2747,0203051102,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第二次會議,*,第二次會議,3
2748,0203051103,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第三次會議,*,第三次會議,12
2749,0203051104,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第四次會議,*,第四次會議,5
2750,0203051105,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第五次會議,*,第五次會議,44
2751,0203051106,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第六次會議,*,第六次會議,3
2752,0203051107,02030511,5,會議/臺灣省議會/第五屆/第一次臨時大會/第七次會議,*,第七次會議,32
2753,02030512,020305,4,會議/臺灣省議會/第五屆/第二次臨時大會,-,第二次臨時大會,178
2754,0203051201,02030512,5,會議/臺灣省議會/第五屆/第二次臨時大會/第一次會議,*,第一次會議,6
2755,0203051202,02030512,5,會議/臺灣省議會/第五屆/第二次臨時大會/第二次會議,*,第二次會議,5
2756,0203051203,02030512,5,會議/臺灣省議會/第五屆/第二次臨時大會/第三次會議,*,第三次會議,12
2757,0203051204,02030512,5,會議/臺灣省議會/第五屆/第二次臨時大會/第四次會議,*,第四次會議,29
2758,02030513,020305,4,會議/臺灣省議會/第五屆/第三次臨時大會,-,第三次臨時大會,114
2759,0203051301,02030513,5,會議/臺灣省議會/第五屆/第三次臨時大會/第一次會議,*,第一次會議,6
2760,0203051302,02030513,5,會議/臺灣省議會/第五屆/第三次臨時大會/第二次會議,*,第二次會議,7
2761,0203051303,02030513,5,會議/臺灣省議會/第五屆/第三次臨時大會/第三次會議,*,第三次會議,12
2762,0203051304,02030513,5,會議/臺灣省議會/第五屆/第三次臨時大會/第四次會議,*,第四次會議,10
2763,02030514,020305,4,會議/臺灣省議會/第五屆/第四次臨時大會,-,第四次臨時大會,107
2764,0203051401,02030514,5,會議/臺灣省議會/第五屆/第四次臨時大會/第一次會議,*,第一次會議,3
2765,0203051402,02030514,5,會議/臺灣省議會/第五屆/第四次臨時大會/第二次會議,*,第二次會議,8
2766,0203051403,02030514,5,會議/臺灣省議會/第五屆/第四次臨時大會/第三次會議,*,第三次會議,8
2767,0203051404,02030514,5,會議/臺灣省議會/第五屆/第四次臨時大會/第四次會議,*,第四次會議,61
2768,02030515,020305,4,會議/臺灣省議會/第五屆/第五次臨時大會,-,第五次臨時大會,36
2769,0203051501,02030515,5,會議/臺灣省議會/第五屆/第五次臨時大會/第一次會議,*,第一次會議,8
2770,0203051502,02030515,5,會議/臺灣省議會/第五屆/第五次臨時大會/第二次會議,*,第二次會議,15
2771,02030516,020305,4,會議/臺灣省議會/第五屆/第六次臨時大會,-,第六次臨時大會,68
2772,0203051601,02030516,5,會議/臺灣省議會/第五屆/第六次臨時大會/第一次會議,*,第一次會議,5
2773,0203051602,02030516,5,會議/臺灣省議會/第五屆/第六次臨時大會/第二次會議,*,第二次會議,7
2774,0203051603,02030516,5,會議/臺灣省議會/第五屆/第六次臨時大會/第三次會議,*,第三次會議,42
2775,02030517,020305,4,會議/臺灣省議會/第五屆/第七次臨時大會,-,第七次臨時大會,100
2776,0203051701,02030517,5,會議/臺灣省議會/第五屆/第七次臨時大會/第一次會議,*,第一次會議,3
2777,0203051702,02030517,5,會議/臺灣省議會/第五屆/第七次臨時大會/第二次會議,*,第二次會議,69
2778,02030518,020305,4,會議/臺灣省議會/第五屆/第八次臨時大會,-,第八次臨時大會,73
2779,0203051801,02030518,5,會議/臺灣省議會/第五屆/第八次臨時大會/第一次會議,*,第一次會議,5
2780,0203051802,02030518,5,會議/臺灣省議會/第五屆/第八次臨時大會/第二次會議,*,第二次會議,53
2781,02030519,020305,4,會議/臺灣省議會/第五屆/第九次臨時大會,-,第九次臨時大會,95
2782,0203051901,02030519,5,會議/臺灣省議會/第五屆/第九次臨時大會/第一次會議,*,第一次會議,8
2783,0203051902,02030519,5,會議/臺灣省議會/第五屆/第九次臨時大會/第二次會議,*,第二次會議,15
